participant_id,1st_playlist,2nd_playlist,3rd_playlist,age,gender,hours_spotify,hours_spotify_coded,most_enjoyable_playlist,msi_F1,msi_F2,msi_F3,msi_F4,msi_F5,msi_FG,SUM_msi,extraversion,agreeableness,conscientiousness,neuroticism,openness,companionship,investment
3,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,43,1,0,-3,low_mood_high_tempo_not_extr,32,32,17,30,13,49,173,3.25,4.25,2.5,1.25,3.5,-7.8893857552697595,2.79859190572702
4,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,42,1,1,-2,low_mood_high_tempo_not_extr,25,41,14,29,13,42,164,3.75,4.25,4.5,2.0,2.5,-3.6267241260294996,2.9234147049986405
5,low_mood_high_tempo_extr,low_mood_low_tempo_extr,high_mood_low_tempo_extr,24,1,10,0,low_mood_low_tempo_extr,13,40,6,30,22,37,148,3.25,4.0,3.25,1.75,3.0,-2.39263294736025,-1.3017764979222501
6,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,23,1,20,2,low_mood_high_tempo_extr,33,46,9,28,25,48,189,4.25,4.25,5.0,3.5,2.75,-4.92665953304773,3.11372201818828
8,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,16,0,10,0,low_mood_low_tempo_not_extr,35,51,6,29,24,59,204,1.75,4.0,4.5,2.25,4.0,-9.166647681830991,4.4835275081370405
10,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,25,0,1,-2,low_mood_low_tempo_extr,28,54,31,26,37,81,257,3.0,3.75,3.25,2.75,5.0,-3.42636896720252,-0.31598004274008396
12,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,15,0,18,2,high_mood_low_tempo_not_extr,42,44,7,30,36,73,232,4.25,4.5,2.25,2.75,4.25,-6.413610610642579,4.4880445423789
13,low_mood_high_tempo_extr,low_mood_low_tempo_extr,high_mood_low_tempo_extr,24,1,10,0,low_mood_low_tempo_extr,40,33,11,29,19,50,182,2.25,4.25,2.75,3.25,2.0,-6.293091652633599,3.2455325067872
14,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,62,1,2,-2,low_mood_high_tempo_not_extr,15,41,8,22,14,36,136,2.5,4.25,4.0,2.0,4.25,-5.28178889632448,-0.0267973954585374
15,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,40,1,5,-1,high_mood_low_tempo_not_extr,32,36,8,31,23,53,183,3.25,4.75,4.25,2.75,3.25,-5.75263492782638,1.31021306033679
16,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,26,0,20,2,low_mood_high_tempo_extr,38,42,21,33,22,69,225,3.25,3.5,3.25,2.25,4.0,-7.038583607091731,1.86395790566488
17,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,24,0,20,2,low_mood_high_tempo_extr,28,42,19,26,20,56,191,2.0,4.25,4.0,2.5,3.0,-3.2727034823065,3.1353578664337403
18,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,47,1,0,-3,low_mood_high_tempo_extr,49,44,14,32,32,71,242,3.5,3.0,3.5,2.5,3.0,-7.451629795697241,1.90294626748824
