,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
1796,classical,Williams Fairey Band: Bone Idyll,"Philip Sparke,Brett Baker,Williams Fairey Band,Bryan Hurdley",All About That Brass,4YnkKa1mb3gcBkPSHVVyzI,Prelude and Scherzo: Scherzo,spotify:track:4YnkKa1mb3gcBkPSHVVyzI,260133,15,0.992,0.466,0.154,0.612,138.66,0.95,3,1,0.0944,-23.108,0.0415
1797,classical,The Essential Canadian Brass,"Giovanni Gabrieli,Canadian Brass",All About That Brass,4zGVvy3uimYz82NDFUmzRf,Canzone prima a 5 - 1.,spotify:track:4zGVvy3uimYz82NDFUmzRf,142000,9,0.994,0.453,0.0971,0.317,112.807,0.875,4,0,0.0766,-19.092,0.0388
1798,classical,Center City Brass Quintet: Street Song,"Anthony DiLorenzo,Center City Brass Quintet",All About That Brass,7wYhiueKctltN4tdo1TdlS,Fire Dance,spotify:track:7wYhiueKctltN4tdo1TdlS,226440,16,0.986,0.3720000000000001,0.189,0.17800000000000002,159.571,0.909,0,1,0.202,-17.683,0.0366
1799,classical,"Luke Carver Goss: Pure Gold ""A 4x4 Relay Race"" (Live)","Luke Carver Goss,Ian McMillan,Black Dyke Band,Manchester Chorale",All About That Brass,3Yzm5ZKYFNAEEBspzqvlgQ,Pure Gold: A 4x4 Relay Race,spotify:track:3Yzm5ZKYFNAEEBspzqvlgQ,851877,10,0.889,0.328,0.149,0.106,112.229,0.00151,0,0,0.669,-28.425,0.19
1800,classical,A Bach Festival,"Johann Sebastian Bach,Empire Brass",All About That Brass,50e0bnvfTTu2nZjOkescnS,"Jacuchzet, frohlocket! from Christmas Oratorio BWV 248 - 2005 Digital Remaster",spotify:track:50e0bnvfTTu2nZjOkescnS,380493,13,0.93,0.389,0.392,0.376,122.827,0.907,2,1,0.109,-12.504,0.0331
1801,classical,PJBE Finale,"Einojuhani Rautavaara,The Philip Jones Brass Ensemble,Elgar Howarth",All About That Brass,2dvcbzYgH3V80RYkNx99Cv,Playgrounds for Angels,spotify:track:2dvcbzYgH3V80RYkNx99Cv,822267,9,0.98,0.284,0.0599,0.038,106.248,0.693,6,1,0.535,-23.891,0.0515
1802,classical,Curnow: Legend in Brass / Jenkins: Coriolanus / Leidzen: Sinfonietta / Ball: The Kingdom Triumphant,"James Curnow,The Sellers Engineering Band,Philip McCann",All About That Brass,2G93L34H3s1zQZOFlpA87S,Legend in Brass: I. Fanfare: Allegro moderato e maestoso,spotify:track:2G93L34H3s1zQZOFlpA87S,224640,13,0.969,0.267,0.204,0.179,103.153,0.936,10,1,0.338,-19.416,0.0336
1803,classical,"Williams Fairey Band: Brass From the Masters, Vol. 1","Edmund Rubbra,Williams Fairey Band,James Gourlay",All About That Brass,3QpWDL7QTGnfKoup3QDPVw,"Variations on The Shining River, Op. 101 (arr. for brass band)",spotify:track:3QpWDL7QTGnfKoup3QDPVw,649440,9,0.985,0.0958,0.0151,0.0569,82.49600000000002,0.961,5,1,0.0953,-27.415,0.0376
1804,classical,Besses O' Th' Barn Band: Showcase for Brass,"Roy Newsome,Besses O' Th' Barn Band",All About That Brass,1rKmGi76oc5qQNxW18KQB9,North West Passage,spotify:track:1rKmGi76oc5qQNxW18KQB9,468573,9,0.977,0.259,0.145,0.157,69.60300000000001,0.892,7,1,0.273,-19.343,0.0528
1805,classical,Sellers Engineering Band: World of Brass (The),"Gordon Langford,The Sellers Engineering Band,Philip McCann",All About That Brass,2eYmyI2DdoKWt6bjiVmh5Z,A Russian Fantasy,spotify:track:2eYmyI2DdoKWt6bjiVmh5Z,465840,13,0.982,0.264,0.0549,0.153,77.067,0.907,5,0,0.225,-21.521,0.0395
1806,classical,Black Dyke Mills Band: Champions of Brass,"Granville Bantock,Black Dyke Mills Band,Geoffrey Brand",All About That Brass,22rQLc3KbFiZ54UtkH1JtB,Prometheus unbound,spotify:track:22rQLc3KbFiZ54UtkH1JtB,587880,11,0.96,0.166,0.0168,0.0567,61.101000000000006,0.946,6,1,0.108,-23.68,0.0375
1807,classical,New Music for Brass Band,"George Benjamin,Foden's Richardson Band,Bramwell Tovey",All About That Brass,1c0DFp3911Ln9P2Ztlo5lF,Altitude,spotify:track:1c0DFp3911Ln9P2Ztlo5lF,522960,11,0.968,0.14300000000000002,0.0197,0.0311,155.30200000000005,0.956,6,0,0.0575,-25.877,0.0394
1808,classical,Black Dyke Mills Band: Epic Brass - British Music for Brass Band,"Gilbert Vinter,Black Dyke Mills Band,Roy Newsome",All About That Brass,4JrTdosJgl5UeseqCvR79O,James Cook - Circumnavigator,spotify:track:4JrTdosJgl5UeseqCvR79O,671400,10,0.948,0.236,0.118,0.0837,110.285,0.951,10,1,0.0825,-22.262,0.0419
1809,classical,"Strauss, R.: Works for Brass Band","Richard Strauss,Locke Brass Consort,James Stobart",All About That Brass,6dFhN2fZK3lDnLOin49ajY,"Wiener Philharmoniker Fanfare, TrV 248",spotify:track:6dFhN2fZK3lDnLOin49ajY,141120,12,0.926,0.34600000000000003,0.208,0.225,96.775,0.93,3,1,0.0939,-17.364,0.0428
1810,classical,"Arnold, M. / Ewald / Bozza / Maurer / Dahl / Clavert: Works for Brass Ensemble","Morley Calvert,Center City Brass Quintet",All About That Brass,6BN7xr2XIa4N5gU7FkR6t6,From the Monteregian Hills Suite: II. Chanson melancolique,spotify:track:6BN7xr2XIa4N5gU7FkR6t6,182880,11,0.981,0.121,0.0428,0.0352,73.312,0.826,8,1,0.078,-23.984,0.0378
1811,classical,"Grimethorpe Colliery Band: Brass From the Masters, Vol. 2","Malcolm Arnold,Grimethorpe Colliery Band,Garry Cutt",All About That Brass,5Yug4bg6Z0JlNLUJofh4JE,Fantasy for Brass Band,spotify:track:5Yug4bg6Z0JlNLUJofh4JE,565200,14,0.977,0.342,0.255,0.0394,113.356,0.925,9,0,0.104,-20.828000000000007,0.0783
1812,classical,Simpson: Volcano / Huber: Symphonic Music / Vinter: John O'Gaunt,"Robert Simpson,Black Dyke Mills Band,Peter Parkes",All About That Brass,6W4QQDBV7KaZkk8RyzqPJZ,Volcano,spotify:track:6W4QQDBV7KaZkk8RyzqPJZ,652680,8,0.8740000000000001,0.204,0.0422,0.0381,105.865,0.921,2,1,0.121,-23.895,0.0412
1813,classical,Grimethorpe Colliery Band: Grimethorpe,"Robert Browne Hall,Grimethorpe Colliery Band,Garry Cutt",All About That Brass,6FJnA5UvE9W4LLZCcvX6iQ,"Tenth Regiment March, ""Death or Glory""",spotify:track:6FJnA5UvE9W4LLZCcvX6iQ,222000,14,0.857,0.513,0.373,0.499,115.111,0.16,10,1,0.0689,-16.313,0.0493
1814,classical,Black Dyke Mills Band: Classic Brass,"Edward Gregson,Black Dyke Mills Band,Geoffrey Brand",All About That Brass,5NNppXqdhEfo0OGmRAtjix,The Plantagenets,spotify:track:5NNppXqdhEfo0OGmRAtjix,716027,12,0.988,0.331,0.134,0.085,100.718,0.932,3,1,0.128,-19.278,0.0497
1815,classical,Prime Meridian,"Igor Stravinsky,Meridian Arts Ensemble",All About That Brass,3oAgPMbLwuUvOn76wpBfa1,Fanfare for a New Theatre,spotify:track:3oAgPMbLwuUvOn76wpBfa1,38973,9,0.977,0.519,0.234,0.273,124.957,0.94,8,1,0.284,-16.874000000000002,0.0814
1816,classical,Black Dyke Mills Band: Lion and the Eagle (The),"Eric Ball,Black Dyke Mills Band,Roy Newsome",All About That Brass,4r2gP0vmnsd4QM5qXFNDVH,Rhapsody on Negro Spirituals,spotify:track:4r2gP0vmnsd4QM5qXFNDVH,483840,11,0.951,0.0886,0.0122,0.104,65.426,0.953,5,0,0.0882,-26.858,0.0345
1817,classical,British Music for Brass,"Arthur Bliss,The Philip Jones Brass Ensemble,John Iveson",All About That Brass,2KIo7D9iSwxvrMSGMCrXXn,Fanfare For The Lord Mayor Of London,spotify:track:2KIo7D9iSwxvrMSGMCrXXn,104040,6,0.954,0.462,0.202,0.0963,88.915,0.918,10,1,0.0905,-14.49,0.0378
