,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
22,chill,The World Owes Me Nothing,Lea Kliphuis,Indie Blend,2MLnon9zWUaQ0uDsNBNLgv,Sweet Morning Sounds,spotify:track:2MLnon9zWUaQ0uDsNBNLgv,233600,21,0.882,0.65,0.228,0.448,84.804,2.22e-06,4,1,0.142,-12.2,0.0315
23,chill,Suddenly Past,Thom Hell,Indie Blend,0YAEn3bKa4uR9UIj3GDhtq,You,spotify:track:0YAEn3bKa4uR9UIj3GDhtq,238160,1,0.5720000000000001,0.332,0.35100000000000003,0.203,167.96599999999995,0.0572,11,1,0.122,-13.356,0.033
24,chill,Strike,Moss,Indie Blend,45WtQnLiVM3GsoxTSgsAF9,I Don't See You Trying,spotify:track:45WtQnLiVM3GsoxTSgsAF9,120973,20,0.000839,0.518,0.7759999999999999,0.564,135.63,0.248,2,1,0.344,-6.28,0.0301
25,chill,Moonlight Feels Right,Starbuck,Indie Blend,7cNq0FTl3GYjLc3g232hdA,Moonlight Feels Right,spotify:track:7cNq0FTl3GYjLc3g232hdA,223560,1,0.5479999999999999,0.72,0.715,0.882,120.49,0.000576,7,1,0.151,-8.594,0.0289
26,chill,Wiggle Room,Drug Cabin,Indie Blend,2dfnS8lVvlUGWb2qbWtvvJ,Steely Dad,spotify:track:2dfnS8lVvlUGWb2qbWtvvJ,185053,38,0.377,0.83,0.6890000000000001,0.962,114.27,0.0327,2,0,0.0977,-7.937,0.0308
27,chill,I'm So Confused,Jonathan Richman,Indie Blend,6mYrGika6zAcsYQTPINHbP,True Love Is Not Nice,spotify:track:6mYrGika6zAcsYQTPINHbP,190560,29,0.263,0.7979999999999999,0.637,0.703,87.505,0.000388,11,0,0.0917,-9.185,0.0866
28,chill,The End Of History,Fionn Regan,Indie Blend,3KmJOQ2NOznqVqGJ945xnV,Put A Penny In The Slot,spotify:track:3KmJOQ2NOznqVqGJ945xnV,239453,0,0.857,0.7440000000000001,0.292,0.441,119.01,1.05e-06,1,1,0.34700000000000003,-8.648,0.0525
29,chill,Wilco [the album],Wilco,Indie Blend,5i57BBhq5eNVS5cBkDD69j,You And I,spotify:track:5i57BBhq5eNVS5cBkDD69j,204707,44,0.278,0.7070000000000001,0.5329999999999999,0.561,122.196,2.7e-05,8,1,0.19,-11.592,0.0322
30,chill,The Waterfall,My Morning Jacket,Indie Blend,1FNOzTikGovOrdDthuQEx8,Get The Point,spotify:track:1FNOzTikGovOrdDthuQEx8,181370,25,0.583,0.55,0.312,0.386,83.021,0.0105,3,1,0.111,-13.539,0.0289
31,chill,"Talks Little, Kills Many",Anne Soldaat,Indie Blend,6NsYUR2JpxVLyHIatUhOBV,She's Starlight,spotify:track:6NsYUR2JpxVLyHIatUhOBV,167372,0,0.795,0.703,0.6709999999999999,0.747,114.205,0.7859999999999999,4,1,0.192,-7.454,0.0307
32,chill,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Eels,Indie Blend,04Snb8bViXIplbjXYKW9rq,I Like Birds,spotify:track:04Snb8bViXIplbjXYKW9rq,153853,3,0.672,0.662,0.7090000000000001,0.841,138.27,0.522,9,1,0.14300000000000002,-5.997999999999998,0.0418
33,chill,Silent Sigh,Badly Drawn Boy,Indie Blend,5xMbDK8zl9xXocnWWpEsQD,Silent Sigh,spotify:track:5xMbDK8zl9xXocnWWpEsQD,288973,20,0.0752,0.595,0.6659999999999999,0.5660000000000001,104.033,1.36e-05,0,1,0.0714,-9.628,0.025
34,chill,The Magic Numbers,The Magic Numbers,Indie Blend,0CIUacqGuohdes8fdIP4K3,Forever Lost,spotify:track:0CIUacqGuohdes8fdIP4K3,257006,47,0.0177,0.537,0.8240000000000001,0.364,147.695,0.0040100000000000005,4,1,0.103,-5.088,0.0321
35,chill,Atlas,Real Estate,Indie Blend,1qrV076T6ZPUPQ2iMgI51s,Crime,spotify:track:1qrV076T6ZPUPQ2iMgI51s,195960,1,0.122,0.585,0.868,0.7390000000000001,120.697,0.446,2,1,0.35600000000000004,-6.345,0.0279
36,chill,Hospitality,Hospitality,Indie Blend,2SThwnXBgeQTIGAunXoYOc,Eighth Avenue,spotify:track:2SThwnXBgeQTIGAunXoYOc,236987,0,0.16,0.476,0.723,0.5539999999999999,78.513,0.00586,11,1,0.0927,-6.54,0.0294
37,chill,The Reminder,Feist,Indie Blend,16XRgRgJVHRyUl0z1lQclm,1234,spotify:track:16XRgRgJVHRyUl0z1lQclm,183667,39,0.214,0.7070000000000001,0.481,0.652,109.939,2.69e-06,2,1,0.087,-7.5779999999999985,0.047
38,chill,Different Class / Deluxe Edition,Pulp,Indie Blend,1leq5icvLS2VGg1cLItCmx,Something Changed,spotify:track:1leq5icvLS2VGg1cLItCmx,198800,5,0.0257,0.5329999999999999,0.7240000000000001,0.381,120.574,0.0148,7,1,0.264,-6.595,0.0314
39,chill,Songs For The Front Row - The Best Of Ocean Colour Scene,Ocean Colour Scene,Indie Blend,6X7ssUyYKlP6TPi5uAIe18,So Low,spotify:track:6X7ssUyYKlP6TPi5uAIe18,234107,26,4.04e-05,0.417,0.7909999999999999,0.64,121.164,0.00549,5,1,0.104,-5.9270000000000005,0.0286
40,chill,Another One,Mac DeMarco,Indie Blend,1gfLXyCT1B4WY3lWrvcUiX,Just to Put Me Down,spotify:track:1gfLXyCT1B4WY3lWrvcUiX,198093,47,0.7659999999999999,0.614,0.745,0.555,79.953,0.00165,8,0,0.22,-7.35,0.0711
41,chill,Calling Out,EZTV,Indie Blend,7kyrP55WSWVnwPzicH8lWF,The Light,spotify:track:7kyrP55WSWVnwPzicH8lWF,186659,30,0.052000000000000005,0.527,0.696,0.83,122.541,0.0,4,0,0.0786,-3.759,0.0322
42,chill,No No No,Beirut,Indie Blend,140ZtSB1AWAZ4laUUNrkiL,No No No,spotify:track:140ZtSB1AWAZ4laUUNrkiL,170640,2,0.391,0.617,0.8740000000000001,0.961,89.596,0.363,0,1,0.466,-7.0139999999999985,0.0358
43,chill,Southlands,Malojian,Indie Blend,4VUhI61bLhcxm8lxqsFKHL,Communion Girls,spotify:track:4VUhI61bLhcxm8lxqsFKHL,131573,0,0.0822,0.647,0.502,0.785,121.96,0.00199,5,0,0.332,-10.097,0.0296
44,chill,Breaker,Deerhunter,Indie Blend,1Sneo8Lp5Ks4MZnoPMelG7,Breaker,spotify:track:1Sneo8Lp5Ks4MZnoPMelG7,211268,0,0.0188,0.584,0.6809999999999999,0.5870000000000001,112.04,0.5710000000000001,9,0,0.305,-7.178,0.0278
45,chill,Unicorn Loves Deer,Alamo Race Track,Indie Blend,7sSmoa8WcFH9Ozp8RMrAMK,Apples,spotify:track:7sSmoa8WcFH9Ozp8RMrAMK,155213,11,0.607,0.705,0.615,0.5579999999999999,147.961,0.0235,0,1,0.114,-6.513,0.0313
46,chill,Azur,Triptides,Indie Blend,03XsfRT6GfOXYMcr4lwPMP,Dark Side,spotify:track:03XsfRT6GfOXYMcr4lwPMP,205632,19,0.00122,0.521,0.8440000000000001,0.944,115.644,0.0,7,1,0.34600000000000003,-5.558,0.0297
47,chill,Ga Ga Ga Ga Ga,Spoon,Indie Blend,0801srqpXGdik7jtU5OAdv,You Got Yr. Cherry Bomb,spotify:track:0801srqpXGdik7jtU5OAdv,188640,28,0.223,0.608,0.737,0.7809999999999999,142.812,0.0,7,1,0.63,-6.165,0.0296
48,chill,True Confessions (Singles=A's+B's),The Undertones,Indie Blend,1SKy8HkIk2Efbb0tdzSggR,Wednesday Week,spotify:track:1SKy8HkIk2Efbb0tdzSggR,137880,0,0.00032,0.327,0.518,0.612,150.239,0.0,5,1,0.153,-8.017000000000001,0.0314
49,chill,Hot Shots II,The Beta Band,Indie Blend,1BTYJkwPdYoxFMUsXpC20K,Squares,spotify:track:1BTYJkwPdYoxFMUsXpC20K,226893,1,0.00337,0.6759999999999999,0.446,0.507,150.033,0.0406,5,0,0.114,-11.519,0.0622
50,chill,Poison Season,Destroyer,Indie Blend,0ekAw6vdRHNa1Zb9inDLi6,Times Square,spotify:track:0ekAw6vdRHNa1Zb9inDLi6,251360,25,0.00827,0.375,0.905,0.826,163.186,0.0601,0,1,0.139,-5.151,0.0368
51,chill,Northern Highway,Martin Courtney,Indie Blend,4V7YLVgU4hYe33vRNRtn1X,Northern Highway,spotify:track:4V7YLVgU4hYe33vRNRtn1X,241454,0,0.000351,0.536,0.867,0.768,128.256,0.0136,7,1,0.149,-6.931,0.0303
52,chill,A Secret History… The Best Of The Divine Comedy,The Divine Comedy,Indie Blend,2N0Nq5oUkIbH6VOii8lckW,Becoming More Like Alfie,spotify:track:2N0Nq5oUkIbH6VOii8lckW,180133,24,0.0728,0.5489999999999999,0.93,0.7340000000000001,161.023,8.1e-06,4,0,0.0819,-5.4270000000000005,0.0474
53,chill,Below The Branches,Kelley Stoltz,Indie Blend,4OkGulUODMewtTU40LA2ox,Prank Calls,spotify:track:4OkGulUODMewtTU40LA2ox,151027,0,0.5329999999999999,0.72,0.616,0.8,117.372,0.00727,11,1,0.311,-8.211,0.0324
54,chill,The Grand Mystique,Ghost Trucker,Indie Blend,7ph0j9ZrBxJjsY5KHOTViL,Under The Stars,spotify:track:7ph0j9ZrBxJjsY5KHOTViL,231400,0,0.785,0.298,0.42,0.218,185.627,0.0023,2,1,0.18600000000000005,-8.523,0.0353
55,chill,Jenny Come Home,Andy Shauf,Indie Blend,78F6y7cbd6jYJXA4RFkwgo,Jenny Come Home,spotify:track:78F6y7cbd6jYJXA4RFkwgo,180934,34,0.34700000000000003,0.7040000000000001,0.623,0.491,119.919,0.0356,11,1,0.135,-8.081,0.0418
56,chill,Just Tell Me,Nico Yaryan,Indie Blend,7G5vmfWoBogA2b0VZuKIfC,Just Tell Me,spotify:track:7G5vmfWoBogA2b0VZuKIfC,162344,18,0.24,0.639,0.628,0.5479999999999999,94.011,7.75e-06,9,1,0.121,-5.585,0.0241
57,chill,Marcy Playground,Marcy Playground,Indie Blend,5mkGfmJGFZpwK9nA5amOhv,Sex & Candy,spotify:track:5mkGfmJGFZpwK9nA5amOhv,173493,70,0.238,0.67,0.5579999999999999,0.63,80.51100000000002,0.0,2,1,0.106,-9.159,0.0251
58,chill,Have You In My Wilderness,Julia Holter,Indie Blend,0FQiuZckFyHL9MgrdNBOAK,Silhouette,spotify:track:0FQiuZckFyHL9MgrdNBOAK,233547,0,0.173,0.445,0.469,0.535,178.05200000000005,0.000624,8,1,0.0998,-5.981,0.0291
59,chill,For,C Duncan,Indie Blend,6EUuKJmYvklA10o1cdhIlz,For,spotify:track:6EUuKJmYvklA10o1cdhIlz,231689,8,0.894,0.5870000000000001,0.606,0.488,85.057,0.29100000000000004,9,1,0.0837,-7.529,0.0335
60,chill,The Greatest,Cat Power,Indie Blend,6CAG3rBGPTAinoqgVD7fBJ,The Greatest,spotify:track:6CAG3rBGPTAinoqgVD7fBJ,202560,61,0.738,0.508,0.362,0.328,107.459,0.000998,0,1,0.0922,-9.688,0.0262
61,chill,Parallax,Atlas Sound,Indie Blend,2XYRxeXd56lzqTBzO41ARO,Mona Lisa,spotify:track:2XYRxeXd56lzqTBzO41ARO,185827,36,0.339,0.551,0.7879999999999999,0.792,124.995,0.000582,7,1,0.0945,-10.594,0.0337
