current_track-next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
2hloaUoRonYssMuqLCBLTX_5wo3Opxvcc5SsszgmwV9Lh,0.1835,0.05700000000000005,0.04799999999999993,0.08799999999999998,47.011,0.000157,2.0,0.0,0.04700000000000007,1.0199999999999978,0.2096,1
5wo3Opxvcc5SsszgmwV9Lh_1uXbwHHfgsXcUKfSZw5ZJ0,0.26004,0.03200000000000003,0.18600000000000005,0.205,22.120999999999995,4.72e-05,0.0,1.0,0.20300000000000007,1.9709999999999968,0.14399999999999996,1
1uXbwHHfgsXcUKfSZw5ZJ0_7sKDftgGirHWTVFMtJoDoh,0.05624,0.09600000000000007,0.10300000000000008,0.209,29.11,4.72e-05,5.0,0.0,0.2610000000000001,1.1909999999999998,0.033000000000000015,1
7sKDftgGirHWTVFMtJoDoh_3e9HZxeyfWwjeyPAMmWSSQ,0.16779999999999998,0.11199999999999999,0.1429999999999999,0.139,8.990000000000009,0.0,4.0,0.0,0.010000000000000007,0.20599999999999952,0.0442,1
3e9HZxeyfWwjeyPAMmWSSQ_44n97yHySt0Z9rqPaXgjCK,0.6839999999999999,0.20400000000000007,0.403,0.061,32.862999999999985,0.0,4.0,1.0,0.016,3.742,0.029099999999999994,1
44n97yHySt0Z9rqPaXgjCK_2ekn2ttSfGqwhhate0LSR0,0.9103899999999999,0.249,0.45,0.25699999999999995,41.96999999999996,1.56e-05,4.0,0.0,0.036000000000000004,3.3549999999999995,0.0327,1
2ekn2ttSfGqwhhate0LSR0_51NFxnQvaosfDDutk0tams,0.45739,0.06700000000000006,0.127,0.2,16.134,0.07338439999999999,5.0,0.0,0.3290000000000001,2.5760000000000014,0.0366,1
51NFxnQvaosfDDutk0tams_42ydLwx4i5V49RXHOozJZq,0.4315,0.122,0.16600000000000015,0.04300000000000004,2.8539999999999988,0.0734,4.0,1.0,0.3710000000000001,2.857000000000001,0.02300000000000001,1
42ydLwx4i5V49RXHOozJZq_0cqRj7pUJDkTCEsJkx8snD,0.030500000000000006,0.07600000000000008,0.05599999999999994,0.464,62.976000000000006,0.0,7.0,0.0,0.021000000000000005,0.4029999999999987,0.034,1
0cqRj7pUJDkTCEsJkx8snD_5RNALwTBXcWvRek9SFDsWM,0.15200000000000002,0.09599999999999996,0.274,0.2470000000000001,62.02500000000001,0.0,2.0,1.0,0.02700000000000001,3.9069999999999983,0.02200000000000002,1
5RNALwTBXcWvRek9SFDsWM_5K59YTZ8u12zJbvrpOFLgS,0.40299999999999997,0.08999999999999997,0.04999999999999999,0.449,11.085999999999999,7.59e-05,1.0,1.0,0.044,0.4029999999999969,0.08249999999999999,1
5K59YTZ8u12zJbvrpOFLgS_2CTN6UuO2dNEVZXR0DJVk2,0.5541,0.0010000000000000009,0.057,0.15700000000000006,4.936000000000006,4.499999999999987e-06,2.0,1.0,0.05149999999999999,2.6170000000000027,0.017300000000000003,1
2CTN6UuO2dNEVZXR0DJVk2_4MqLcVZJ2YKtyXs12NMTp4,0.1111,0.02100000000000002,0.28600000000000003,0.247,68.77499999999999,7.140000000000001e-05,6.0,1.0,0.0635,3.3480000000000003,0.2718,1
4MqLcVZJ2YKtyXs12NMTp4_6F5c58TMEs1byxUstkzVeM,0.16613,0.07900000000000007,0.04200000000000004,0.16799999999999998,29.195000000000014,6.6e-06,7.0,1.0,0.193,1.9450000000000007,0.2712,1
