current_track-next_track,current_track,next_track,energy_median,valence_median,tempo_median,energy_ct,valence_ct,tempo_ct,energy_nt,valence_nt,tempo_nt,energy_mid_pont,valence_mid_pont,tempo_mid_pont,diff_energy,diff_valence,diff_tempo,euclidian_dist_midpoint_median,euclidian_dist_track
6LtFWkakk2no03jeyznFrf_2xYlyywNgefLCRDG8hlxZq,6LtFWkakk2no03jeyznFrf,2xYlyywNgefLCRDG8hlxZq,0.642,0.487,113.815,0.398,0.515,93.93,0.43,0.546,164.267,0.41400000000000003,0.5305,129.0985,0.03200000000000003,0.031000000000000024,70.33699999999999,15.285262460945841,70.33701411063736
6LtFWkakk2no03jeyznFrf_0zJBVh81kuPLo8ZP0Uvqli,6LtFWkakk2no03jeyznFrf,0zJBVh81kuPLo8ZP0Uvqli,0.642,0.487,113.815,0.398,0.515,93.93,0.392,0.449,169.96200000000005,0.395,0.482,131.94600000000003,0.00599999999999995,0.066,76.03200000000005,18.132683061257126,76.03202888257032
6LtFWkakk2no03jeyznFrf_4uAoj4DosgBPhQxmOI5kLU,6LtFWkakk2no03jeyznFrf,4uAoj4DosgBPhQxmOI5kLU,0.642,0.487,113.815,0.398,0.515,93.93,0.406,0.488,173.917,0.402,0.5015000000000001,133.9235,0.008000000000000063,0.027000000000000024,79.987,20.109937406665384,79.98700495705536
4UbOwTSBizbJtTFqrBUGdM_4GUXTRTjQ4voLzwLw9qbPx,4UbOwTSBizbJtTFqrBUGdM,4GUXTRTjQ4voLzwLw9qbPx,0.642,0.487,113.815,0.512,0.177,146.013,0.498,0.154,76.902,0.505,0.16549999999999998,111.45750000000001,0.014000000000000012,0.023,69.111,2.383261945317791,69.11100524518508
4jwP0pxx7su04FYc6J12EQ_6guTWjJ5Eohg3N4JI2y1q4,4jwP0pxx7su04FYc6J12EQ,6guTWjJ5Eohg3N4JI2y1q4,0.642,0.487,113.815,0.62,0.537,95.078,0.605,0.565,177.361,0.6125,0.5509999999999999,136.21949999999998,0.015000000000000013,0.027999999999999917,82.28299999999999,22.404610831255233,82.28300613127838
4jwP0pxx7su04FYc6J12EQ_1Y9HOwUH6sezrAERMDSXBf,4jwP0pxx7su04FYc6J12EQ,1Y9HOwUH6sezrAERMDSXBf,0.642,0.487,113.815,0.62,0.537,95.078,0.604,0.603,168.024,0.612,0.5700000000000001,131.551,0.016000000000000014,0.06599999999999995,72.94600000000001,17.736219580282594,72.94603161241878
5bgwqaRSS3M8WHWruHgSL5_6guTWjJ5Eohg3N4JI2y1q4,5bgwqaRSS3M8WHWruHgSL5,6guTWjJ5Eohg3N4JI2y1q4,0.642,0.487,113.815,0.585,0.642,105.03,0.605,0.565,177.361,0.595,0.6034999999999999,141.19549999999998,0.02000000000000001,0.07700000000000007,72.33099999999997,27.380788182592536,72.33104375024598
5bgwqaRSS3M8WHWruHgSL5_3YhE7Y5CbTJ0eSZfascy2m,5bgwqaRSS3M8WHWruHgSL5,3YhE7Y5CbTJ0eSZfascy2m,0.642,0.487,113.815,0.585,0.642,105.03,0.565,0.5660000000000001,173.442,0.575,0.6040000000000001,139.236,0.02000000000000001,0.07599999999999996,68.41199999999999,25.42135753652821,68.41204513826494
5R96PHcqOGjgj23D98F6mf_7A2eDNBgJrEVE87C8pOMqN,5R96PHcqOGjgj23D98F6mf,7A2eDNBgJrEVE87C8pOMqN,0.642,0.487,113.815,0.565,0.302,67.992,0.594,0.273,143.86,0.5794999999999999,0.2875,105.92600000000002,0.029000000000000026,0.02899999999999997,75.86800000000002,7.891769605101236,75.86801108504164
5R96PHcqOGjgj23D98F6mf_2o2WPwiPIiGQJeZC6xiQad,5R96PHcqOGjgj23D98F6mf,2o2WPwiPIiGQJeZC6xiQad,0.642,0.487,113.815,0.565,0.302,67.992,0.526,0.331,135.944,0.5455,0.3165,101.96799999999999,0.03899999999999992,0.029000000000000026,67.95199999999998,11.8486198141387,67.952017379913
