category,playlist_id,playlist_name
chill,37i9dQZF1DX1SGz4XfZKy2,Stargazer
chill,37i9dQZF1DXat5j4Lk8UEj,Folk Rock Faves
chill,37i9dQZF1DWXnscMH24yOc,Chill Covers
chill,37i9dQZF1DWWzVPEmatsUB,Mellow Morning
chill,37i9dQZF1DXa9xHlDa5fc6,License To Chill
chill,37i9dQZF1DWZZA4G4jVRXy,The Hawaiian Party
chill,37i9dQZF1DX6tTW0xDxScH,Lazy Weekend
chill,37i9dQZF1DX5g856aiKiDS,Dalkom Cafe
chill,37i9dQZF1DX2ViysbCzMHO,Nashville Stripped
chill,37i9dQZF1DWUGsgkESc7qP,Hangover Friendly
chill,37i9dQZF1DX9XdJRfSK6a0,An Instrumental Sunday
chill,37i9dQZF1DXbLx6H12mpQk,Low-key Weekend
chill,37i9dQZF1DWXi7h4mmmkzD,Country Nights
chill,37i9dQZF1DWWWSl6BMaKWo,Broadway Piano Covers
chill,37i9dQZF1DX7XctuunSzQQ,Late Night Synths And Strings
chill,37i9dQZF1DX1wdZM1FEz79,K-Pop Acoustics
chill,37i9dQZF1DWZS4GhkDZq7c,Chill Moru
chill,6ZcP3X4ANIWPFuDUpGhcbu,AMBIENT ESSENTIALS
chill,0WATskXA8OhEYTzSKDfHgW,Indie Blend
