category,playlist_id,playlist_name
classical,37i9dQZF1DWYiS8hkmdLyc,Classical World: Belgium & The Netherlands
classical,37i9dQZF1DX6gv78LyipEI,Classical World: Australia & New Zealand
classical,37i9dQZF1DX3pxhv0SnNNN,Steve Reich - Composer Weekly #048
classical,37i9dQZF1DX9kBfhl09Oll,Classical World: Brazil
classical,37i9dQZF1DXdazL2M92igj,Sublime String Quintets
classical,37i9dQZF1DWYMDP0EcdRK6,Classical World: Austria
classical,37i9dQZF1DWWpvJ8TvRI7m,David Lang - Composer Weekly #061
classical,37i9dQZF1DXdUer5rrvuGS,Classical World: Japan
classical,37i9dQZF1DWUfMnnPBigKP,Symphony of the Winds
classical,37i9dQZF1DWVQTBWd2FvK6,Spotify Orchestra: Viola
classical,37i9dQZF1DX6Cc1xytKlor,Classical World: Argentina
classical,37i9dQZF1DXaSipEWiHbyL,Classical World: USA
classical,37i9dQZF1DWXXW8bE6k5tq,John Williams' Non-film Music - Composer Weekly #066
classical,37i9dQZF1DXd6hRl5cr1TT,Interplay: Classical with Electronics
classical,37i9dQZF1DX2jpVXYbZ1Zw,Classical World: Norway
classical,37i9dQZF1DWUL3kA2TtHbs,Classical World: Finland
classical,37i9dQZF1DX6Oqe1LC2A2s,Next Classical
classical,37i9dQZF1DX43qoHiOOgIz,Classical World: Mexico
classical,37i9dQZF1DX2d2B80QbRDa,Autumn Classical
classical,37i9dQZF1DX8GBmCO89g8U,Electroacoustic 50: Spotify Picks
classical,37i9dQZF1DWWcdoD971JiK,Art of Fugue
classical,37i9dQZF1DX75gMjYMWCsk,Queer Composers
classical,37i9dQZF1DX2b0K0xjrlYe,Classical World: Iceland
classical,37i9dQZF1DWSPYCQqDPtY7,Spotify Orchestra: Double Bass
classical,37i9dQZF1DXaQeL9mwtfsG,70 After 70: Creativity & Longevity
classical,37i9dQZF1DX77PFyUDrf10,Classical World: Canada
classical,37i9dQZF1DWZsmkMiH7wkJ,John Adams - Composer Weekly #067
classical,37i9dQZF1DX0ynPp7KaiSY,Winter Classical
classical,37i9dQZF1DWWz5UlCOYxeE,Classical World: Denmark
classical,37i9dQZF1DXc26kXinU9Fn,Jennifer Higdon - Composer Weekly #071
