"flow_score","participant_id","var_mood","var_tempo","level_extreme","companionship",".fitted",".resid",".hat",".cooksd",".fixed",".mu",".offset",".sqrtXwt",".sqrtrwt",".weights",".wtres"
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
-0.851579439359406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,-1.02942252931357,0.0279734490744987,0.00446842219003389,0.055590569654701,0.177843089954167,0,1,1,1,-1.02942252931357
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
-0.851579439359406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,-1.02942252931357,0.0279734490744987,0.00446842219003389,0.055590569654701,0.177843089954167,0,1,1,1,-1.02942252931357
-0.851579439359406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,-1.02942252931357,0.0279734490744987,0.00446842219003389,0.055590569654701,0.177843089954167,0,1,1,1,-1.02942252931357
1.11658376303406,3,"high","low","not_extreme",-1.03815999622812,0.177843089954167,0.938740673079888,0.0279734490744987,0.00371584964315891,0.055590569654701,0.177843089954167,0,1,1,1,0.938740673079888
-0.851579439359406,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,-0.838795334381383,0.02700648678819,0.00285849419540405,-0.13503662527749,-0.0127841049780235,0,1,1,1,-0.838795334381383
-0.182403950545629,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,-0.169619845567606,0.02700648678819,0.000116890342004961,-0.13503662527749,-0.0127841049780235,0,1,1,1,-0.169619845567606
0.447408274220278,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,0.460192379198302,0.02700648678819,0.000860407420599421,-0.13503662527749,-0.0127841049780235,0,1,1,1,0.460192379198302
0.801677650651102,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,0.814461755629125,0.02700648678819,0.00269504917947687,-0.13503662527749,-0.0127841049780235,0,1,1,1,0.814461755629125
-0.851579439359406,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,-0.838795334381383,0.02700648678819,0.00285849419540405,-0.13503662527749,-0.0127841049780235,0,1,1,1,-0.838795334381383
1.11658376303406,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,1.12936786801208,0.02700648678819,0.00518198506601174,-0.13503662527749,-0.0127841049780235,0,1,1,1,1.12936786801208
1.11658376303406,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,1.12936786801208,0.02700648678819,0.00518198506601174,-0.13503662527749,-0.0127841049780235,0,1,1,1,1.12936786801208
0.132502161837325,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,0.145286266815348,0.02700648678819,8.57579580188314e-05,-0.13503662527749,-0.0127841049780235,0,1,1,1,0.145286266815348
-0.851579439359406,3,"low","high","not_extreme",-1.03815999622812,-0.0127841049780235,-0.838795334381383,0.02700648678819,0.00285849419540405,-0.13503662527749,-0.0127841049780235,0,1,1,1,-0.838795334381383
-0.851579439359406,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,-0.95173960181285,0.02700648678819,0.00368011663987182,-0.0220923578460217,0.100160162453444,0,1,1,1,-0.95173960181285
1.11658376303406,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,1.01642360058061,0.02700648678819,0.00419734612035088,-0.0220923578460217,0.100160162453444,0,1,1,1,1.01642360058061
-0.851579439359406,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,-0.95173960181285,0.02700648678819,0.00368011663987182,-0.0220923578460217,0.100160162453444,0,1,1,1,-0.95173960181285
0.132502161837325,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,0.0323419993838803,0.02700648678819,4.24970742228989e-06,-0.0220923578460217,0.100160162453444,0,1,1,1,0.0323419993838803
0.447408274220278,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,0.347248111766834,0.02700648678819,0.0004898973475823,-0.0220923578460217,0.100160162453444,0,1,1,1,0.347248111766834
-0.536673326976452,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,-0.636833489429896,0.02700648678819,0.00164769600951083,-0.0220923578460217,0.100160162453444,0,1,1,1,-0.636833489429896
0.132502161837325,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,0.0323419993838803,0.02700648678819,4.24970742228989e-06,-0.0220923578460217,0.100160162453444,0,1,1,1,0.0323419993838803
-0.182403950545629,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,-0.282564112999074,0.02700648678819,0.000324383913828999,-0.0220923578460217,0.100160162453444,0,1,1,1,-0.282564112999074
0.447408274220278,3,"low","low","not_extreme",-1.03815999622812,0.100160162453444,0.347248111766834,0.02700648678819,0.0004898973475823,-0.0220923578460217,0.100160162453444,0,1,1,1,0.347248111766834
